두화당 , 서울시 도봉구 쌍문동 88-108, 010-9037-1090, 기타 양식, 만원-2만원, 무료주차 가능," 월-목: 12:00 - 21:00,금-토: 12:00 - 22:00,일: 12:00 - 유동적"
조대포 (1호점), 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
하나모코시 , 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
문배동육칼 , 서울시 성동구 행당동 155-1, 02-6454-6221, 기타 일식, 만원-2만원, 무료주차 가능, 11:00 - 22:00
열정도 다가구주택 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
쎄라비 , 인천시 부평구 갈산동 382-1, 032-221-3310, 카페 / 디저트, 만원 미만, 무료주차 가능, 12:00 - 22:00
열정도 고깃집 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
마시&바시 , 서울시 도봉구 쌍문동 103-231, 010-7150-4887, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 23:00
두들커피로스터리 , 서울시 도봉구 쌍문동 88-108, 010-9037-1090, 기타 양식, 만원-2만원, 무료주차 가능," 월-목: 12:00 - 21:00,금-토: 12:00 - 22:00,일: 12:00 - 유동적"
열정도 감자집 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
형제상회 (노량진본점), 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
꿀꾸랄라 , 서울시 노원구 상계동 109-56, 02-936-0885, 고기 요리, None, None, None
오가네팬케이크 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
허수아비 , 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
마마부찌 , 서울시 도봉구 쌍문동 103-231, 010-7150-4887, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 23:00
곱창의전설 (노량진점), 서울시 노원구 상계동 109-56, 02-936-0885, 고기 요리, None, None, None
스시준 , 인천시 부평구 갈산동 382-1, 032-221-3310, 카페 / 디저트, 만원 미만, 무료주차 가능, 12:00 - 22:00
노량진길거리베트남쌀국수 , 서울시 노원구 상계동 109-56, 02-936-0885, 고기 요리, None, None, None
스윙바이 (노량진점), 인천시 부평구 갈산동 382-1, 032-221-3310, 카페 / 디저트, 만원 미만, 무료주차 가능, 12:00 - 22:00
주전부리 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
오월의종 (타임스퀘어점), 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
