남영,두화당 ,조대포 (1호점),하나모코시 ,문배동육칼 ,열정도 다가구주택 ,쎄라비 ,열정도 고깃집 ,마시&바시 ,두들커피로스터리 ,열정도 감자집 ,
노량진,형제상회 (노량진본점),꿀꾸랄라 ,오가네팬케이크 ,허수아비 ,마마부찌 ,곱창의전설 (노량진점),스시준 ,노량진길거리베트남쌀국수 ,스윙바이 (노량진점),주전부리 ,
영등포,오월의종 (타임스퀘어점),에베레스트 (영등포점),커피리브레 (타임스퀘어),마호가니커피 (타임스퀘어점),마굿간생고기 ,켄비멘리키 ,마호가니 ,카페마마스 (타임스퀘어),삼송빵집 (신세계백화점 영등포점),달빛한모금 (영등포점),
신도림,올드문래 ,신도림 이도식당 ,코나야 (현대백화점 디큐브시티점),백미당 1964 (디큐브 시티점),미미네 (현대백화점 디큐브시티점),찬장 ,쉐라톤디큐브시티로비라운지바 ,빈브라더스 (신도림디큐브시티백화점점),이춘복참치 (현대백화점 디큐브시티점),신도림참족발 ,
외대앞,영화장 ,외대철판마을 ,본가할머니보쌈 ,레알라면 ,원더러스트 ,옹골진치킨 (외대점),베브릿지 (외대 본점),언니네함바그 ,고수찜닭 (외대점),통일부대찌개 ,
신이문,로지스시 ,서울쉬퐁 ,농이마을 ,광산떡볶이 ,진도식당 ,진성각 ,남대문임금님표꿀타래 ,안다미로왕솥뚜껑삼겹살 ,별난주점 (한예종점),신마포갈매기 (이문삼거리점),
석계,창신동매운족발 (1호점),창신동매운족발 (석계점),남해바다마차 ,봉추찜닭 (석계점),채선당 (석계점),치어스 (석계역점),무명칼국수 ,이층블루스 ,버들국수 ,포베이 (석계역점),
월계,마루국시 ,육당21 (월계점),용궁중화요리 ,월계철판곱창 ,보리보리 ,와플팝 ,가장맛있는족발족과의동침 (월계점),썬더치킨 (인덕대점),행복추풍령감자탕묵은지 (월계점),전봇대곱창 ,
녹천,금희네삼겹살 ,맥시칸 (녹천점),,,,,,,,,
서울,블랙드럼 ,유즈라멘 ,카페올로 (서울스퀘어점),해랑스시 ,카페395 (밀레니엄서울힐튼),이창희스시 ,베리스트리트키친 ,카니발피자 ,서울리스타 ,누들박스 (서울역점),
시청,애성회관 (북창동점),마르셀 ,진주회관 ,림벅와플 (덕수궁직영점),잼배옥 ,모모카페 ,도원 (플라자호텔),에릭케제르 (플라자호텔),송옥 (본점),유림면 ,
종각,더미 (광화문 본점),백부장집닭한마리 (본점),무교동북어국집 ,반짝반짝빛나는 ,황산샤브샤브 ,종로돈부리 ,교대이층집 (광화문점),정선할매곤드레밥 ,청진식당 ,커피기업 (광화문점),
종로3가,뚝배기집 ,크래프트루 ,포탈라 (종로점),양키스버거 ,호반 ,녹기전에 ,국수찾아닭만리 ,서울커피 (익선점),리장수 ,효자동목고기 ,
종로5가,부촌육회 ,창신육회 ,육회자매집 (3호점),육회자매집 (2호점),진옥화할매원조닭한마리 ,은성횟집 ,형제육회 ,순희네빈대떡 ,소문난원할매닭한마리 (종로본점),원조누드치즈김밥 ,
동대문,비엘티스테이크 (JW메리어트동대문),옥천왕족발 ,동북화과왕 ,마고미 ,일젤라또 (현대시티아울렛 동대문점),창신동매운족발 (본점),라에스키모 (현대시티아울렛 동대문점),코나야 (현대시티아울렛 동대문점),그리핀바 ,더라운지 (JW 메리어트호텔 동대문점),
신설동,육전식당 (1호점),육전식당 (3호점),육전식당 (2호점),리도 ,황박사소갈비 ,어른이대공원 ,팔삼 ,미스사이공 (신설동점),학술적연구소 ,빈이네곱창 ,
제기동,나정순할매쭈꾸미 ,평양냉면 ,히든트랙 ,마약고기 ,용두동임오네쭈꾸미 (1호점 본점),청량리할머니냉면 (용두점),상생장 ,함경면옥 ,치킨마루 (제기동점),감초식당 ,
동묘앞,낙산냉면 ,히말라얀레스토랑 (동묘역점),호텔고기뷔페 ,채선당 (동묘점),본고향맛집 (동묘점),동묘 어탕국수 ,나마스테 (동묘점),호로록커피 ,고기튀김전문집 ,포메인 (동묘점),
쌍용(나사렛대),카페 하인츠 (팬타포트점),유리카모메 ,펀피쉬R ,국수나무 (천안와이몰점),왕십리용비네한우곱창 ,죠인쉐프뉴욕 (천안아산역점),갈릭차이나 ,스시히로바 (갤러리아 센터시티),밀러타임 (아산KTX점),빈스앤베리즈 (갤러리아 센터시티 3호점),
아산,,,,,,,,,,,
탕정,풍기역전앞부산식당 ,,,,,,,,,,
풍기,,,,,,,,,,,
온양온천,예가떡폐백이바지전문 ,홍두깨칼국수 ,장어사냥 ,은정갈비 ,재벌짬뽕 ,치르치르 (온양온천점),삼부자황제갈비살 ,유림분식 ,현대갈비 ,올래즉석멸치국수 ,
신창,곤지암백간난소머리국밥 ,유정고기마당 ,대청마루 ,,,,,,,,
가산디지털단지,여신족발 ,춘천옥 ,인디아게이트 (마리오점),에머이 ,스시마이우 ,선향정샤브샤브 ,홍대돈부리 (마리오아울렛),25카츠 (가산점),철판목장 (W몰점),포보스 (현대아울렛 가산점),
관악,관악감자탕 ,재동골순대보쌈 ,도미노피자 (석수점),엘에이호프 ,삼막골샤브샤브 ,대림떡집 ,서소문순두부보쌈 ,본가한방족발 ,도담바지락칼국수 ,캘리포니아 ,
안양,65 디그리스 ,연막술 (안양본점),삼촌식당 ,봉추찜닭 (안양점),어반시크 ,설빙 (경기도안양점),홍대돈부리 (안양1번가점),코벤트가든 ,서가앤쿡 (안양1번가점),아지매순대국 ,
금정,제주아방 (금정점),항아리보쌈 ,찌개지존 ,털보네떡볶이 ,좋은날피에스타 ,가장맛있는족발 (금정역점),군산오징어 ,서래통 ,커피볶는고양이 ,레드브릭 ,
군포,군포식당 ,골목집 ,진주집 ,싸오타이포차 ,윤대감참숯등갈비 ,쭈박 ,피자정 ,예감쪽갈비 (군포점),촛불조방낙지 ,군포떡집 ,
성균관대,나이트티 ,국수파동 ,벨라튀니지 ,블루펍 ,바네통 ,비추는별 ,키와마루아지 (성균관대점),낮것상칼국수 ,히토리 ,본찌돈까스 ,
