샘밭막국수 (서울본점), 서울시 서초구 서초동 1685-8, 02-585-1702, 국수 / 면 요리, 만원 미만, 주차공간없음, 11:30 - 21:30
하레, 서울시 서초구 서초동 1697-11, 02-593-7319, 이자카야 / 오뎅 / 꼬치, 만원-2만원, 무료주차 가능, 18:00 - 01:00
보떼가젤라또, 서울시 서초구 서초동 1676-6, 070-7793-2180, 카페 / 디저트, 만원 미만, 유료주차 가능, 12:00 - 21:00
교대이층집 (교대본점), 서울시 서초구 서초동 1571-18, 02-525-6692, 고기 요리, 만원-2만원, 발렛, 11:00 - 01:00
스시카루, 서울시 서초구 서초동 1716-4, 010-7116-3223, 회 / 스시, 4만원 이상, 무료주차 가능, 11:30 - 22:00
탐라도야지, 서울시 서초구 서초동 1566-8, 02-521-3337, 고기 요리, 만원-2만원, 무료주차 가능, 00:00 - 24:00
귀족족발, 서울시 서초구 서초동 1575-11, 02-525-9967, 고기 요리, 만원-2만원, 유료주차 가능, 월-금: 10:00 - 23:00\n토-일: 10:00 - 22:00
램하우스 (서초법원점), 서울시 서초구 서초동 1713-4, 02-3476-0678, 고기 요리, None, None, None
서초장어타운, 서울시 서초구 서초동 1571-30, 02-521-6934, 해산물 요리, 3만원-4만원, 무료주차 가능, 11:30 - 22:00
명동곰돌이, 서울시 서초구 서초동 1696-5, 02-594-3989, 국수 / 면 요리, 만원 미만, 주차공간없음, 11:30 - 21:00
백년옥 (본점), 서울시 서초구 서초동 1450-6, 02-523-2860, 탕 / 찌개 / 전골, 만원 미만, 무료주차 가능, 10:00 - 22:00
루엘드파리, 서울시 서초구 서초동 1445-13, 02-322-0939, 베이커리, 만원 미만, 유료주차 가능, 08:00 - 21:00
곰포차, 서울시 서초구 서초동 1459-9, 010-9410-8358, 전통 주점 / 포차, 만원-2만원, 주차공간없음, 월-금: 17:30 - 03:00\n토: 17:30 - 01:00
