['밀작', '서울시 강서구 방화동 607-152', '02-2664-1025', '베이커리', '만원 미만', '주차공간없음', '10:00 - 23:00'],,,,,
['카페라클라스', '서울시 강서구 마곡동 736', '02-2664-1118', '카페 / 디저트', '만원 미만', '무료주차 가능', '10:00 - 23:00'],,,,,
['최윤진당진아구동태찜탕', '서울시 강서구 방화동 249-20', '02-877-7051', '해산물 요리', '만원-2만원', '00:00 - 24:00', 'None'],,,,,
['비라티오커피 (신방화역점)', '서울시 강서구 마곡동 739-4', '070-4138-5638', '카페 / 디저트', '만원 미만', '유료주차 가능', '월-금: 09:00 - 22:00\n토-일: 10:00 - 22:00'],,,,,
['밀작 (2호점)', '서울시 강서구 마곡동 739', '02-2664-1026', '카페 / 디저트', '만원 미만', '유료주차 가능', '월-토: 08:00 - 22:00\n일: 09:00 - 18:00'],,,,,
['존슨부대찌개', '서울시 강서구 마곡동 739-1', '02-3661-0600', '탕 / 찌개 / 전골', '만원-2만원', '주차공간없음', '11:00 - 22:00'],,,,,
['노가리깔까', '서울시 강서구 방화동 606-73', '010-8998-6645', '일반 주점', '만원 미만', '주차공간없음', '17:00 - 03:00'],,,,,
['페리카나 (방화2호점)', '서울시 강서구 방화동 580-53', '02-2666-9992', '닭 / 오리 요리', '만원 미만', 'None', 'None'],,,,,
['타베루', '서울시 강서구 마곡동 739-4', '070-8288-0982', '라멘 / 소바 / 우동', '만원 미만', '무료주차 가능', '11:00 - 21:00'],,,,,
['구름공방 (신방화역점)', '서울시 강서구 마곡동 739-4', '02-2661-9980', '치킨 / 호프 / 펍', '만원 미만', '무료주차 가능', '11:30 - 02:00'],,,,,
['브루드서울', '서울시 강서구 마곡동 760-1', '070-5025-2480', '카페 / 디저트', '만원 미만', '유료주차 가능', '10:00 - 23:00'],,,,,
['나우니스', '서울시 강서구 마곡동 760-1', '02-2668-7878', '브런치 / 버거 / 샌드위치', '만원 미만', '유료주차 가능 앙코르호텔 주차장 1시간 무료', '11:30 - 23:00'],,,,,
['악토버', '서울시 강서구 마곡동 760-1', '02-322-7199', '베이커리', '만원 미만', '유료주차 가능', '일-목: 10:00 - 21:00\n금-토: 10:00 - 22:00'],,,,,
['프랭크서울 (마곡나루역점)', '서울시 강서구 마곡동 757', '02-6989-8030', '기타 한식', '만원 미만', 'None', 'None'],,,,,
['송쭈집 (마곡나루점)', '서울시 강서구 마곡동 759', '02-3664-7892', '해산물 요리', '만원-2만원', '유료주차 가능 2시간 무료', '11:00 - 23:00'],,,,,
['꼼떼바베큐 (마곡점)', '서울시 강서구 마곡동 760-1', '02-6929-3990', '스테이크 / 바베큐', '만원-2만원', '11:30 - 22:30', '16:00 - 17:00'],,,,,
['필립앤노아', '서울시 강서구 마곡동 326-9', '02-3663-6601', '카페 / 디저트', '만원 미만', '무료주차 가능', '11:00 - 22:00'],,,,,
['뭄미', '서울시 강서구 방화동 197-10', '카페 / 디저트', '만원 미만', '식당 홈페이지로 가기', 'None', 'None'],,,,,
['앙키친', '서울시 강서구 마곡동 760', '02-3662-9889', '퓨전 일식', '만원 미만', '무료주차 가능', '월-금: 11:30 - 22:00\n토: 12:00 - 22:00'],,,,,
['올리브키친', '서울시 강서구 방화동 193-11', '02-6738-0093', '이탈리안', '만원 미만', '무료주차 가능', '10:30 - 22:00'],,,,,
['함흥본가', '서울시 강서구 등촌동 628-5', '02-3662-1556', '기타 한식', '만원-2만원', 'None', 'None'],,,,,
['소바트럭', '서울시 강서구 등촌동 639-8', '02-3662-7227', '라멘 / 소바 / 우동', '만원 미만', '무료주차 가능', '월-금: 11:30 - 24:00\n토: 12:00 - 24:00\n일: 12:00 - 23:00'],,,,,
['명태어장', '서울시 강서구 등촌동 628-18', '02-2668-1489', '해산물 요리', '만원-2만원', '유료주차 가능', '11:00 - 23:00'],,,,,
['뚜스뚜스', '서울시 강서구 등촌동 629-7', '02-3663-0000', '브런치 / 버거 / 샌드위치', '만원-2만원', '무료주차 가능', '07:30 - 01:30'],,,,,
['이가바지락손칼국수', '서울시 강서구 등촌동 65-20', '02-3661-2077', '국수 / 면 요리', '만원 미만', '주차공간없음', '09:00 - 22:00'],,,,,
['현이네초밥가게', '서울시 강서구 등촌동 641-11', '02-3661-2714', '회 / 스시', '만원-2만원', '무료주차 가능', '11:30 - 22:00'],,,,,
