전철역코드,전철역명,호선,외부코드
330,교대,3,340
331,남부터미널,3,341
332,양재,3,342
333,매봉,3,343
334,도곡,3,344
335,대치,3,345
337,대청,3,347
338,일원,3,348
339,수서,3,349
340,가락시장,3,350
341,경찰병원,3,351
342,오금,3,352
409,당고개,4,409
410,상계,4,410
411,노원,4,411
413,쌍문,4,413
414,수유,4,414
415,미아,4,415
416,미아사거리,4,416
417,길음,4,417
419,한성대입구,4,419
420,혜화,4,420
421,동대문,4,421
422,동대문역사문화공원,4,422
423,충무로,4,423
424,명동,4,424
425,회현,4,425
426,서울,4,426
428,삼각지,4,428
429,신용산,4,429
430,이촌,4,430
431,동작,4,431
432,총신대입구,4,432
434,남태령,4,434
1002,남영,1,134
1004,노량진,1,136
1006,영등포,1,139
1007,신도림,1,140
1016,외대앞,1,122
1017,신이문,1,121
1018,석계,1,120
1020,월계,1,118
1021,녹천,1,117
151,시청,1,132
152,종각,1,131
153,종로3가,1,130
154,종로5가,1,129
156,신설동,1,126
157,제기동,1,125
159,동묘앞,1,127
202,을지로입구,2,202
203,을지로3가,2,203
204,을지로4가,2,204
207,상왕십리,2,207
209,한양대,2,209
210,뚝섬,2,210
212,건대입구,2,212
213,구의,2,213
214,강변,2,214
215,잠실나루,2,215
217,잠실새내,2,217
219,삼성,2,219
220,선릉,2,220
222,강남,2,222
224,서초,2,224
225,방배,2,225
226,사당,2,226
228,서울대입구,2,228
229,봉천,2,229
230,신림,2,230
231,신대방,2,231
232,구로디지털단지,2,232
235,문래,2,235
236,영등포구청,2,236
237,당산,2,237
239,홍대입구,2,239
240,신촌,2,240
241,이대,2,241
242,아현,2,242
243,충정로,2,243
245,신답,2,211-2
247,도림천,2,234-1
248,양천구청,2,234-2
249,신정네거리,2,234-3
250,용두,2,211-3
260,까치산,2,234-4
309,지축,3,319
310,구파발,3,320
311,연신내,3,321
312,불광,3,322
313,녹번,3,323
314,홍제,3,324
315,무악재,3,325
316,독립문,3,326
322,동대입구,3,332
324,금호,3,334
325,옥수,3,335
326,압구정,3,336
327,신사,3,337
329,고속터미널,3,339
1402,쌍용,1,P171
1403,아산,1,P172
1404,탕정,1,P173
1406,풍기,1,P175
1407,온양온천,1,P176
1408,신창,1,P177
1951,원당,3,317
1954,백석,3,314
1955,마두,3,313
1957,주엽,3,311
1958,대화,3,310
2511,방화,5,510
2512,개화산,5,511
2513,김포공항,5,512
2515,마곡,5,514
2516,발산,5,515
2517,우장산,5,516
2518,화곡,5,517
2520,신정,5,519
2521,목동,5,520
2522,오목교,5,521
2526,신길,5,525
2528,여의나루,5,527
2529,마포,5,528
2530,공덕,5,529
2531,애오개,5,530
2533,서대문,5,532
2534,광화문,5,533
2621,마포구청,6,620
2622,망원,6,621
2623,합정,6,622
2624,상수,6,623
2626,대흥,6,625
2628,효창공원앞,6,627
2631,이태원,6,630
2632,한강진,6,631
